Epoch: 0.1976284584980237, Train Loss: 2.0592, Validation Loss: N/A
Epoch: 0.3952569169960474, Train Loss: 1.2105, Validation Loss: N/A
Epoch: 0.5928853754940712, Train Loss: 0.88, Validation Loss: N/A
Epoch: 0.7905138339920948, Train Loss: 0.6409, Validation Loss: N/A
Epoch: 0.9881422924901185, Train Loss: 0.5341, Validation Loss: N/A
Epoch: 1.0, Train Loss: N/A, Validation Loss: 0.46041950583457947
Epoch: 1.1857707509881423, Train Loss: 0.4747, Validation Loss: N/A
Epoch: 1.383399209486166, Train Loss: 0.4469, Validation Loss: N/A
Epoch: 1.5810276679841897, Train Loss: 0.4154, Validation Loss: N/A
Epoch: 1.7786561264822134, Train Loss: 0.4083, Validation Loss: N/A
Epoch: 1.9762845849802373, Train Loss: 0.3844, Validation Loss: N/A
Epoch: 2.0, Train Loss: N/A, Validation Loss: 0.3629257380962372
Epoch: 2.1739130434782608, Train Loss: 0.3686, Validation Loss: N/A
Epoch: 2.3715415019762847, Train Loss: 0.3533, Validation Loss: N/A
Epoch: 2.5691699604743086, Train Loss: 0.3422, Validation Loss: N/A
Epoch: 2.766798418972332, Train Loss: 0.3367, Validation Loss: N/A
Epoch: 2.9644268774703555, Train Loss: 0.3243, Validation Loss: N/A
Epoch: 3.0, Train Loss: N/A, Validation Loss: 0.3103448152542114
Epoch: 3.1620553359683794, Train Loss: 0.3132, Validation Loss: N/A
Epoch: 3.3596837944664033, Train Loss: 0.2944, Validation Loss: N/A
Epoch: 3.5573122529644268, Train Loss: 0.3035, Validation Loss: N/A
Epoch: 3.7549407114624507, Train Loss: 0.3101, Validation Loss: N/A
Epoch: 3.9525691699604746, Train Loss: 0.2944, Validation Loss: N/A
Epoch: 4.0, Train Loss: N/A, Validation Loss: 0.27369239926338196
Epoch: 4.150197628458498, Train Loss: 0.2765, Validation Loss: N/A
Epoch: 4.3478260869565215, Train Loss: 0.2754, Validation Loss: N/A
Epoch: 4.545454545454545, Train Loss: 0.2758, Validation Loss: N/A
Epoch: 4.743083003952569, Train Loss: 0.2631, Validation Loss: N/A
Epoch: 4.940711462450593, Train Loss: 0.2726, Validation Loss: N/A
Epoch: 5.0, Train Loss: N/A, Validation Loss: 0.2484433650970459
Epoch: 5.138339920948616, Train Loss: 0.255, Validation Loss: N/A
Epoch: 5.335968379446641, Train Loss: 0.2616, Validation Loss: N/A
Epoch: 5.533596837944664, Train Loss: 0.257, Validation Loss: N/A
Epoch: 5.7312252964426875, Train Loss: 0.2448, Validation Loss: N/A
Epoch: 5.928853754940711, Train Loss: 0.2529, Validation Loss: N/A
Epoch: 6.0, Train Loss: N/A, Validation Loss: 0.234933540225029
Epoch: 6.126482213438735, Train Loss: 0.2385, Validation Loss: N/A
Epoch: 6.324110671936759, Train Loss: 0.2377, Validation Loss: N/A
Epoch: 6.521739130434782, Train Loss: 0.2384, Validation Loss: N/A
Epoch: 6.719367588932807, Train Loss: 0.2425, Validation Loss: N/A
Epoch: 6.91699604743083, Train Loss: 0.2441, Validation Loss: N/A
Epoch: 7.0, Train Loss: N/A, Validation Loss: 0.2195921093225479
Epoch: 7.1146245059288535, Train Loss: 0.2266, Validation Loss: N/A
Epoch: 7.312252964426877, Train Loss: 0.227, Validation Loss: N/A
Epoch: 7.509881422924901, Train Loss: 0.226, Validation Loss: N/A
Epoch: 7.707509881422925, Train Loss: 0.2196, Validation Loss: N/A
Epoch: 7.905138339920948, Train Loss: 0.2211, Validation Loss: N/A
Epoch: 8.0, Train Loss: N/A, Validation Loss: 0.21623212099075317
Epoch: 8.102766798418973, Train Loss: 0.2216, Validation Loss: N/A
Epoch: 8.300395256916996, Train Loss: 0.2215, Validation Loss: N/A
Epoch: 8.49802371541502, Train Loss: 0.2199, Validation Loss: N/A
Epoch: 8.695652173913043, Train Loss: 0.2103, Validation Loss: N/A
Epoch: 8.893280632411066, Train Loss: 0.2125, Validation Loss: N/A
Epoch: 9.0, Train Loss: N/A, Validation Loss: 0.2083509862422943
Epoch: 9.090909090909092, Train Loss: 0.2102, Validation Loss: N/A
Epoch: 9.288537549407115, Train Loss: 0.2134, Validation Loss: N/A
Epoch: 9.486166007905139, Train Loss: 0.2056, Validation Loss: N/A
Epoch: 9.683794466403162, Train Loss: 0.1954, Validation Loss: N/A
Epoch: 9.881422924901186, Train Loss: 0.2003, Validation Loss: N/A
Epoch: 10.0, Train Loss: N/A, Validation Loss: 0.1947917342185974
Epoch: 10.079051383399209, Train Loss: 0.1996, Validation Loss: N/A
Epoch: 10.276679841897232, Train Loss: 0.1948, Validation Loss: N/A
Epoch: 10.474308300395258, Train Loss: 0.197, Validation Loss: N/A
Epoch: 10.671936758893281, Train Loss: 0.2029, Validation Loss: N/A
Epoch: 10.869565217391305, Train Loss: 0.1956, Validation Loss: N/A
Epoch: 11.0, Train Loss: N/A, Validation Loss: 0.19295738637447357
Epoch: 11.067193675889328, Train Loss: 0.1888, Validation Loss: N/A
Epoch: 11.264822134387352, Train Loss: 0.1964, Validation Loss: N/A
Epoch: 11.462450592885375, Train Loss: 0.1921, Validation Loss: N/A
Epoch: 11.660079051383399, Train Loss: 0.186, Validation Loss: N/A
Epoch: 11.857707509881424, Train Loss: 0.1835, Validation Loss: N/A
Epoch: 12.0, Train Loss: N/A, Validation Loss: 0.18422727286815643
Epoch: 12.055335968379447, Train Loss: 0.1866, Validation Loss: N/A
Epoch: 12.25296442687747, Train Loss: 0.182, Validation Loss: N/A
Epoch: 12.450592885375494, Train Loss: 0.1817, Validation Loss: N/A
Epoch: 12.648221343873518, Train Loss: 0.1865, Validation Loss: N/A
Epoch: 12.845849802371541, Train Loss: 0.1801, Validation Loss: N/A
Epoch: 13.0, Train Loss: N/A, Validation Loss: 0.18481257557868958
Epoch: 13.043478260869565, Train Loss: 0.181, Validation Loss: N/A
Epoch: 13.24110671936759, Train Loss: 0.1802, Validation Loss: N/A
Epoch: 13.438735177865613, Train Loss: 0.1775, Validation Loss: N/A
Epoch: 13.636363636363637, Train Loss: 0.1801, Validation Loss: N/A
Epoch: 13.83399209486166, Train Loss: 0.1697, Validation Loss: N/A
Epoch: 14.0, Train Loss: N/A, Validation Loss: 0.1725466102361679
Epoch: 14.031620553359684, Train Loss: 0.1698, Validation Loss: N/A
Epoch: 14.229249011857707, Train Loss: 0.1737, Validation Loss: N/A
Epoch: 14.42687747035573, Train Loss: 0.1793, Validation Loss: N/A
Epoch: 14.624505928853754, Train Loss: 0.1745, Validation Loss: N/A
Epoch: 14.82213438735178, Train Loss: 0.167, Validation Loss: N/A
Epoch: 15.0, Train Loss: N/A, Validation Loss: 0.17027339339256287
Epoch: 15.019762845849803, Train Loss: 0.1627, Validation Loss: N/A
Epoch: 15.217391304347826, Train Loss: 0.1644, Validation Loss: N/A
Epoch: 15.41501976284585, Train Loss: 0.1636, Validation Loss: N/A
Epoch: 15.612648221343873, Train Loss: 0.1675, Validation Loss: N/A
Epoch: 15.810276679841897, Train Loss: 0.1652, Validation Loss: N/A
Epoch: 16.0, Train Loss: N/A, Validation Loss: 0.1604599952697754
Epoch: 16.007905138339922, Train Loss: 0.1607, Validation Loss: N/A
Epoch: 16.205533596837945, Train Loss: 0.1661, Validation Loss: N/A
Epoch: 16.40316205533597, Train Loss: 0.1623, Validation Loss: N/A
Epoch: 16.600790513833992, Train Loss: 0.1617, Validation Loss: N/A
Epoch: 16.798418972332016, Train Loss: 0.1579, Validation Loss: N/A
Epoch: 16.99604743083004, Train Loss: 0.1561, Validation Loss: N/A
Epoch: 17.0, Train Loss: N/A, Validation Loss: 0.16496632993221283
Epoch: 17.193675889328063, Train Loss: 0.1566, Validation Loss: N/A
Epoch: 17.391304347826086, Train Loss: 0.1538, Validation Loss: N/A
Epoch: 17.58893280632411, Train Loss: 0.1582, Validation Loss: N/A
Epoch: 17.786561264822133, Train Loss: 0.1566, Validation Loss: N/A
Epoch: 17.984189723320156, Train Loss: 0.1496, Validation Loss: N/A
Epoch: 18.0, Train Loss: N/A, Validation Loss: 0.15901751816272736
